++++++++++++++++++++++++++++++++
欢迎光临txt小说之家
www.900txt.com
所有小说解压密码为www.900txt.com
上万部txt格式小说免费下。
++++++++++++++++++++++++++++++++
日期：2005-9-10 来源：互联网 编辑：风冷长河 


 
384 老师：“你知道牛皮有什么作用吗？”汤姆：“是用来把牛肉包在一起的。” 0 
383 科恩想学心脏外科，去请教奥本教授。教授：“你想过富裕的生活就应当学牙科。人的心脏只有一个，而牙齿却有32颗。” 0 
382 教师：“你们认为要消除家长与学生不和的现象最好的办法是什么？”学生：“最好的办法是您在我的学习成绩单上全填上5分。” 0 
381 监考老师纳闷的盯着一位学生在掷骰子，问：“为什么同一题掷好几次？”学生无奈的回答说:“难道不用验算吗？” 0 
380 法律学校的一次考试：重婚罪的惩罚是什么？回答：两个丈母娘。 0 
379 问：请问你的室友小陈怎么受的伤？答：我们打赌，看谁能将身子伸出窗外更远，结果他赢了。 0 
378 一学生问老师，粪字如何写，老师一时也忘了，只好说：“就在嘴边，怎么就出不来了呢？” 0 
377 有一天某教授突然停止授课对大家说：如果坐在中间谈天的同学能像坐在后面玩牌的那样安静的话，那么在前面睡觉的就不会受干扰了。 0 
376 生物老师正描述非洲野猪的长相，发现多数学生在打瞌睡。于是喝道：“你们要看着我啊！不看我，你们怎么知道非洲野猪长什么样？” 0 
375 教授：“如果你们看见女孩子屁股上有草屑，你们应该委婉地说：‘姑娘,你的肩上有草屑。’”女学生：“教授，你领带的拉链开了！” 0 
373 一学生把硬币抛向空中：“正面朝上就去看电影，背面朝上就去打台球，如果硬币立起来，就他妈去学习。” 0 
372 老师：“请用母牛造句！”学生：“一头母牛！”“好！能不能再造一个？”“又一头母牛！” 0 
371 大学追女仔经典对白，男生：我可以向你问路吗？女生：到哪里？男生：到你心里。 0 
370 大学追女仔经典对白，男生（看着她衬衫的标签）女生：你在做什么？男生：想知道你是不是天堂制造的。 0 
369 假如我有一个女朋友，我不会因为她逃课而板起铁青的脸，我会说：乖，下次逃课不要忘了叫我…… 0 
368 假如我有一个女朋友，我会要她天天陪我吃饭，对她说，吃吧，无论你吃多少，我都喜欢，别伤着身子就行。 0 
367 老师：小新，你的毛病就是用词不当，现在考考你用一句成语来形容老师很开心。小新：含笑九泉。 0 
366 老师：小新，你怎么偷同学的橡皮擦？你做这种事，难道不为父母想一想吗？小新：就是想过才做的。这样就不用花父母的钱了。 0 
365 老师：男女生到青春期会有第二性征出现，女生平坦的胸部会隆起，就像……小新：像双安全气囊。 0 
364 老师：现在上急救课，先做口对口人工呼吸，这样重复做，会怎样？小新：有人会告你性骚扰。 0 
363 老师：现在上急救课，有人受伤，第一步要怎么做？小新：我知道，问他要不要器官捐赠？ 0 
362 小明传纸条给小芬：我很喜欢你，如果你也喜欢我，请把纸条传回来，如果不，请把纸条丢到窗外。纸条传了回来，写着：窗户打不开。 0 
360 老师说：快考试了，试卷已经交到印刷厂了。你们要好好复习，还有什么问题要问的？学生：请问是哪个印刷厂？ 0 
358 宿舍里刚刚装了电话，110宿舍各位效仿其他宿舍待电话铃响，拿起话筒，温柔地说：“你好，这里是110。” 0 
