序号	专利号	名称
1	CN2013800141770	用于在网络环境中支持状态同步的系统和方法
2	CN2013800141732	用于在网络环境中支持子网管理器（SM）主协商的系统和方法
3	CN2013800220683	用于基于胖树路由在不同无限带宽子网间路由流量的系统和方法
4	CN2013800220700	用于基于源路由在不同无限带宽子网间路由流量的系统和方法
5	CN2013800113709	支持面向对象编程语言环境中对对象的延迟引用的系统和方法
6	CN201380017317X	使用全息记录材料的表面法向光耦合
7	CN2013800080480	用于基于扩展的主机信道适配器(HCA)模型支持虚拟机的动态迁移的系统和方法
8	CN2013800080508	用于支持虚拟化环境中的虚拟机的动态迁移的系统和方法
9	CN2013800080601	用于支持无限带网络中的虚拟机的动态迁移的系统和方法
10	CN201380009011X	在中间件机器环境中对虚拟机迁移提供可扩展的信令机制的系统和方法
11	CN2013800080476	用于支持中间层事务日志到数据库的内联委托的系统和方法
12	CN2013800080527	用于支持基于二阶段提交调用的严格定序的事务恢复的系统和方法
13	CN2013800155186	微链路高带宽的芯片到芯片总线
14	CN2013800130761	具有写后直接读的光学存储设备
15	CN2013800144887	用于实现到web服务的公用数据接口的方法和系统
16	CN2013800071797	动态网格梳状光源
17	CN2013800043227	软件部署拓扑结构
18	CN2012800692514	用于嵌入过程通信的虚拟通道
19	CN2012800631900	具有透明背面涂层的光学介质
20	CN2012800586303	基于订户的针对使用的促销建议
21	CN2012800586159	用于在移动设备上观看数据可视化并与其交互的放大工具
22	CN201280066309X	用于更高效地使用存储器至CPU带宽的技术
23	CN2012800663102	用于在易失性存储器内保持关系型数据的列向量的技术
24	CN2012800597863	倒置的无衬底芯片上的光学器件
25	CN201280052890X	在胖树拓扑中利用虚拟通道的动态分配减轻拥挤的系统和方法
26	CN2012800528882	用于提供胖树拓扑中的交换机之间的无死锁路由的系统和方法
27	CN2012800534756	协同储存管理
28	CN2012800597806	用于持久性指针管理的软件转换后备缓冲器
29	CN2012800600796	具有自动负荷平衡和性能调节的高可用网络文件管理器
30	CN2012800627869	自动需求参数升级
31	CN2012800667565	自动需求参数估计
32	CN2012800528863	降低用于支持未命中先行的硬件成本
33	CN2012800586290	用于集成电路（IC）芯片的散热结构设计
34	CN2012800555752	利用空间变化的电荷分布确定间距
35	CN2012800474628	集群中的有效高速缓存管理
36	CN2012800550570	基于快速持久性存储器的回写储存器高速缓存
37	CN2012800583485	OAUTH框架
38	CN2012800474740	在中间件机器环境中提供和管理用于多节点应用的消息队列的系统及方法
39	CN2012800483434	结合经典运动力学关于显示框移动对象
40	CN2012800470769	管理含GUI导航、属性表和Tab自动完成的服务器配置的系统和方法
41	CN2012800560318	用于触摸屏移动设备的快速数据输入通道
42	CN2012800557601	利用已有预布线算法，使用直线斯坦纳最小树（RSMT）确定节点之间的线路长度的方法
43	CN2012800547991	移动应用、单点登录管理
44	CN2012800475029	企业工具增强
45	CN2012800470792	用于在流量指挥站环境中提供负载平衡与数据压缩的灵活性的系统及方法
46	CN2012800474721	在事务中间件机器环境中支持准确负载平衡的系统及方法
47	CN2012800470858	用于通信量引导器环境中的资源服务器的动态发现和配置的系统和方法
48	CN2012800470773	用于流量引导器环境中的流量的主动-被动路由和控制的系统和方法
49	CN2012800535265	高吞吐量全球订单承诺系统
50	CN2012800703947	用于对事件进行计费的函数模型
51	CN2012800474844	支持在事务式中间件机器环境中自动部署/撤销部署应用组件的系统和方法
52	CN2012800474806	支持事务式中间件机器环境中的复杂消息标头的系统和方法
53	CN2012800474810	用于在事务中间件机器环境中支持动态资源调度的系统及方法
54	CN201280047483X	用于在事务性中间件机器环境中防止单点瓶颈的系统和方法
55	CN2012800474933	用于在事务中间件机器环境中持久化事务记录的系统与方法
56	CN2012800474774	用于在事务中间件机器环境中支持不同消息队列的系统及方法
57	CN2012800459473	基于搜索的通用导航
